Nº;DATE;TIME;FIELD;RACE;BOX;GREY;RTG
82;2024-11-03;01:23;addington;R9;3;BOSSY ADOBE;67
83;2024-11-03;01:23;addington;R9;4;DIAMOND SCARLETT;79
84;2024-11-03;01:23;addington;R9;5;GOLDSTAR NADIA;92
85;2024-11-03;01:23;addington;R9;6;KNOW MATCH;89
86;2024-11-03;01:23;addington;R9;7;PEREZ JEWEL;71
87;2024-11-03;01:23;addington;R9;8;GO EYE;82
88;2024-11-03;01:23;addington;R9;9;TOBY MCGILL;
89;2024-11-03;01:23;addington;R9;10;GOLDSTAR WHIPPY;
90;2024-11-03;01:38;addington;R10;1;GOTCHA PROOF;95
91;2024-11-03;01:38;addington;R10;2;IMPRESSIVE TOAD;79
92;2024-11-03;01:38;addington;R10;3;GOLDSTAR BRUTE;87
93;2024-11-03;01:38;addington;R10;4;ALL POTENTIAL;100
94;2024-11-03;01:38;addington;R10;5;NORM'S FANTASY;81
95;2024-11-03;01:38;addington;R10;6;OPAWA DUCHESS;86
96;2024-11-03;01:38;addington;R10;7;HOMEBUSH ROSA;81
97;2024-11-03;01:38;addington;R10;8;HOMEBUSH PHANTOM;86
98;2024-11-03;01:38;addington;R10;9;OPAWA CHESTER;
99;2024-11-03;01:38;addington;R10;10;HOMEBUSH ALEC;
100;2024-11-03;01:56;addington;R11;1;GOLDSTAR JOBLIN;100
101;2024-11-03;01:56;addington;R11;2;ZIPPING TRACKER;72
102;2024-11-03;01:56;addington;R11;3;DIAMOND KNIGHT;81
103;2024-11-03;01:56;addington;R11;4;HOMEBUSH AMY;77
104;2024-11-03;01:56;addington;R11;5;HOMEBUSH MAX;73
105;2024-11-03;01:56;addington;R11;6;BIG TIME DONCIC;76
106;2024-11-03;01:56;addington;R11;7;OPAWA MARCELLE;66
107;2024-11-03;01:56;addington;R11;8;KATE BAXTER;72
108;2024-11-03;01:56;addington;R11;9;OPAWA PIP;
109;2024-11-03;01:56;addington;R11;10;HOMEBUSH THEO;
110;2024-11-03;02:17;addington;R12;1;HOMEBUSH ARI;100
111;2024-11-03;02:17;addington;R12;2;HOMEBUSH HARPER;94
112;2024-11-03;02:17;addington;R12;3;KNOW BRAKES;80
113;2024-11-03;02:17;addington;R12;4;REGAL BIRDIE;98
114;2024-11-03;02:17;addington;R12;5;HOMEBUSH DELIGHT;95
115;2024-11-03;02:17;addington;R12;6;DIAMOND VAPER;95
116;2024-11-03;02:17;addington;R12;7;GO PRICKLES;80
117;2024-11-03;02:17;addington;R12;8;BROKEN BONDS;95
118;2024-11-03;02:17;addington;R12;9;OPAWA PIP;
119;2024-11-03;02:17;addington;R12;10;HOMEBUSH THEO;
120;2024-11-03;02:37;addington;R13;1;MASTER LEO;100
121;2024-11-03;02:37;addington;R13;2;HOMEBUSH DOVE;83
122;2024-11-03;02:37;addington;R13;3;MERCEDES JEWEL;90
123;2024-11-03;02:37;addington;R13;4;HOMEBUSH LASS;90
124;2024-11-03;02:37;addington;R13;5;OPAWA BARB;95
125;2024-11-03;02:37;addington;R13;6;GOTCHA CHESTER;87
126;2024-11-03;02:37;addington;R13;7;DARK WOLF;80
127;2024-11-03;02:37;addington;R13;8;CAITHNESS;88
128;2024-11-03;02:37;addington;R13;9;OPAWA PIP;
129;2024-11-03;02:37;addington;R13;10;HOMEBUSH THEO;
130;2024-11-03;02:54;addington;R14;1;HOMEBUSH SHADY;97
131;2024-11-03;02:54;addington;R14;2;I'M AN ACE;97
132;2024-11-03;02:54;addington;R14;3;TELL IVY;100
133;2024-11-03;02:54;addington;R14;4;GOLDEN STRIKE;87
134;2024-11-03;02:54;addington;R14;5;KNOW GLOATING;89
135;2024-11-03;02:54;addington;R14;6;IMPRESSIVE NORA;92
136;2024-11-03;02:54;addington;R14;7;STELLA DEL SUD;91
137;2024-11-03;02:54;addington;R14;8;MITCHAM XENA;95
138;2024-11-03;02:54;addington;R14;9;OPAWA PIP;
139;2024-11-03;02:54;addington;R14;10;HOMEBUSH THEO;
140;2024-11-03;03:09;addington;R15;1;MYLEE ROCKS;100
141;2024-11-03;03:09;addington;R15;2;IMPRESSIVE NIXON;86
142;2024-11-03;03:09;addington;R15;3;RICKY ODD EYES;96
143;2024-11-03;03:09;addington;R15;4;YATRI BALE;95
144;2024-11-03;03:09;addington;R15;5;GOLDSTAR TOBY;92
145;2024-11-03;03:09;addington;R15;6;IMPRESSIVE SHOW;95
146;2024-11-03;03:09;addington;R15;7;HOMEBUSH FEIJOA;99
147;2024-11-03;03:09;addington;R15;8;RETREAD PETE;94
148;2024-11-03;03:09;addington;R15;9;OPAWA PIP;
149;2024-11-03;03:09;addington;R15;10;HOMEBUSH THEO;
150;2024-11-03;05:23;albion-park;R1;1;CHARDONNAY GIRL;66
151;2024-11-03;05:23;albion-park;R1;2;SWOOPER'S BIAS;79
152;2024-11-03;05:23;albion-park;R1;3;REDBACK JACK;100
153;2024-11-03;05:23;albion-park;R1;4;DECREED;99
154;2024-11-03;05:23;albion-park;R1;5;ANYTIME RAVEN;82
155;2024-11-03;05:23;albion-park;R1;6;BING BONUS;82
156;2024-11-03;05:23;albion-park;R1;7;ZIPPING BOGART;97
157;2024-11-03;05:23;albion-park;R1;8;OXLEY DREAM GIRL;86
158;2024-11-03;05:41;albion-park;R2;1;TRENTINO;94
159;2024-11-03;05:41;albion-park;R2;2;TAKE A SHOT;100
160;2024-11-03;05:41;albion-park;R2;3;SCORCHING DEMON;83
161;2024-11-03;05:41;albion-park;R2;4;MYSTERY OF ZAC;82
162;2024-11-03;05:41;albion-park;R2;5;LAKODA WOMBAT;72
163;2024-11-03;05:41;albion-park;R2;6;LORNETT SWIFT;94
164;2024-11-03;05:41;albion-park;R2;7;BUG ME NOT;79
165;2024-11-03;05:41;albion-park;R2;8;CHAMPAGNE MIA;77
166;2024-11-03;06:03;albion-park;R3;1;DEL GRECO;99
167;2024-11-03;06:03;albion-park;R3;2;WULKURAKA LAD;95
168;2024-11-03;06:03;albion-park;R3;3;JAGGERY;85
169;2024-11-03;06:03;albion-park;R3;4;ULTIMATE FLOYD;97
170;2024-11-03;06:03;albion-park;R3;5;BAGO SWEETIE;96
171;2024-11-03;06:03;albion-park;R3;6;AKELA KUNG FU;89
172;2024-11-03;06:03;albion-park;R3;7;AKELA LONG SHOT;100
173;2024-11-03;06:03;albion-park;R3;8;MONTELEONE;97
174;2024-11-03;06:03;albion-park;R3;9;HOWDY CYNDIE;
175;2024-11-03;06:25;albion-park;R4;1;GLENREAGH BULLET;89
176;2024-11-03;06:25;albion-park;R4;2;EBONY BAR COOL;89
177;2024-11-03;06:25;albion-park;R4;3;FANTASTIC IRIS;92
178;2024-11-03;06:25;albion-park;R4;4;MARIONVALE TIGER;79
179;2024-11-03;06:25;albion-park;R4;5;TIKI BAR;
180;2024-11-03;06:25;albion-park;R4;6;AWAY DAYS;100
181;2024-11-03;06:25;albion-park;R4;7;FAST MILKMAN;83
182;2024-11-03;06:25;albion-park;R4;8;HENRY LOCKSMITH;82
183;2024-11-03;06:25;albion-park;R4;9;AKELA NINJUTSU;80
184;2024-11-03;06:25;albion-park;R4;10;SMALL TOWN;
185;2024-11-03;06:43;albion-park;R5;1;MUSTANG HAYZE;100
186;2024-11-03;06:43;albion-park;R5;2;JUMPING JIVE;99
187;2024-11-03;06:43;albion-park;R5;3;SARAH'S GOLD;96
188;2024-11-03;06:43;albion-park;R5;4;RUSTY DEMON;98
189;2024-11-03;06:43;albion-park;R5;5;OBLIGING WARREN;86
190;2024-11-03;06:43;albion-park;R5;6;MISS DARKSIDE;85
191;2024-11-03;06:43;albion-park;R5;7;ORSON APATITE;90
192;2024-11-03;06:43;albion-park;R5;8;BIG EASY AL;97
193;2024-11-03;07:05;albion-park;R6;1;BRUNSWICK FLYER;100
194;2024-11-03;07:05;albion-park;R6;2;POWER OF WHISKEY;86
195;2024-11-03;07:05;albion-park;R6;3;IZZY NO TALK;91
196;2024-11-03;07:05;albion-park;R6;4;MR. SPRINGTIME;90
197;2024-11-03;07:05;albion-park;R6;5;SEAWAY FLYER;90
