Nº;DATE;TIME;FIELD;RACE;BOX;GREY;RTG
1;2024-11-10;05:36;albion-park;R1;1;BAREFOOT ELSA;97
2;2024-11-10;05:36;albion-park;R1;2;SPUNKY MONKEY;100
3;2024-11-10;05:36;albion-park;R1;3;KATIE'S QUICK;99
4;2024-11-10;05:36;albion-park;R1;4;DISTURBED;99
5;2024-11-10;05:36;albion-park;R1;5;MYSTIC MIRAGE;89
6;2024-11-10;05:36;albion-park;R1;6;ALL OUT FIRE;91
7;2024-11-10;05:36;albion-park;R1;7;CHAMPAGNE MIA;
8;2024-11-10;05:36;albion-park;R1;8;SWOOPER'S BIAS;87
9;2024-11-10;05:58;albion-park;R2;1;BUG ME NOT;80
10;2024-11-10;05:58;albion-park;R2;2;DECREED;100
11;2024-11-10;05:58;albion-park;R2;3;TRENTINO;85
12;2024-11-10;05:58;albion-park;R2;4;REDBACK JACK;98
13;2024-11-10;05:58;albion-park;R2;5;ZIPPING BOGART;90
14;2024-11-10;05:58;albion-park;R2;6;TAKE A SHOT;
15;2024-11-10;05:58;albion-park;R2;7;ANYTIME RAVEN;83
16;2024-11-10;05:58;albion-park;R2;8;SCORCHING DEMON;76
17;2024-11-10;05:58;albion-park;R2;9;CHAMPAGNE MIA;76
18;2024-11-10;05:58;albion-park;R2;10;SWOOPER'S BIAS;
19;2024-11-10;06:20;albion-park;R3;1;POWER OF WHISKEY;93
20;2024-11-10;06:20;albion-park;R3;2;BRUNSWICK FLYER;100
21;2024-11-10;06:20;albion-park;R3;3;VACANT BOX;
22;2024-11-10;06:20;albion-park;R3;4;IZZY NO TALK;
23;2024-11-10;06:20;albion-park;R3;5;VACANT BOX;
24;2024-11-10;06:20;albion-park;R3;6;ACE'S CHANCE;97
25;2024-11-10;06:20;albion-park;R3;7;VACANT BOX;
26;2024-11-10;06:20;albion-park;R3;8;LIVE STREAM;84
27;2024-11-10;06:46;albion-park;R4;1;FAST MILKMAN;
28;2024-11-10;06:46;albion-park;R4;2;BINNY DOO;100
29;2024-11-10;06:46;albion-park;R4;3;VACANT BOX;
30;2024-11-10;06:46;albion-park;R4;4;AKELA NINJUTSU;75
31;2024-11-10;06:46;albion-park;R4;5;VACANT BOX;
32;2024-11-10;06:46;albion-park;R4;6;HENRY LOCKSMITH;71
33;2024-11-10;06:46;albion-park;R4;7;VACANT BOX;
34;2024-11-10;06:46;albion-park;R4;8;SMALL TOWN;76
35;2024-11-10;07:04;albion-park;R5;1;KAMILAROI GIRL;66
36;2024-11-10;07:04;albion-park;R5;2;TRUNKEY DOLL;79
37;2024-11-10;07:04;albion-park;R5;3;FEDERAL BELLE;79
38;2024-11-10;07:04;albion-park;R5;4;PROFESSOR ARLENA;77
39;2024-11-10;07:04;albion-park;R5;5;APACHE TIGER;100
40;2024-11-10;07:04;albion-park;R5;6;HARA'S INDIANA;87
41;2024-11-10;07:04;albion-park;R5;7;MONTELEONE;82
42;2024-11-10;07:04;albion-park;R5;8;AKELA KUNG FU;80
43;2024-11-10;07:29;albion-park;R6;1;CONTAGIOUS;87
44;2024-11-10;07:29;albion-park;R6;2;FLYING GODDESS;88
45;2024-11-10;07:29;albion-park;R6;3;FEDERAL BLUE BOY;86
46;2024-11-10;07:29;albion-park;R6;4;MASKED SINGER;100
47;2024-11-10;07:29;albion-park;R6;5;VACANT BOX;
48;2024-11-10;07:29;albion-park;R6;6;STATIC;83
49;2024-11-10;07:29;albion-park;R6;7;HESTER RHODE;74
50;2024-11-10;07:29;albion-park;R6;8;CHA CHA KITTY;81
51;2024-11-10;07:54;albion-park;R7;1;MESSY AND UNTIDY;98
52;2024-11-10;07:54;albion-park;R7;2;BUMPY'S LAD;94
53;2024-11-10;07:54;albion-park;R7;3;SLACK;99
54;2024-11-10;07:54;albion-park;R7;4;ROYAL VOLTAGE;91
55;2024-11-10;07:54;albion-park;R7;5;MAID IN SPACE;100
56;2024-11-10;07:54;albion-park;R7;6;WISE KEVIN;93
57;2024-11-10;07:54;albion-park;R7;7;HARA'S BOOTS;92
58;2024-11-10;07:54;albion-park;R7;8;ELLIE RHEE COURT;92
59;2024-11-10;08:19;albion-park;R8;1;RIORSON BALE;98
60;2024-11-10;08:19;albion-park;R8;2;ELECTRIC CHA CHA;87
61;2024-11-10;08:19;albion-park;R8;3;PERFECT SCORE;78
62;2024-11-10;08:19;albion-park;R8;4;CASH HANDY;93
63;2024-11-10;08:19;albion-park;R8;5;SHAMROCK HAYZE;99
64;2024-11-10;08:19;albion-park;R8;6;BYE BYE DORA;100
65;2024-11-10;08:19;albion-park;R8;7;SHIMMERING LIGHT;94
66;2024-11-10;08:19;albion-park;R8;8;ARBELA;92
67;2024-11-10;08:19;albion-park;R8;9;MAID IN SPACE;
68;2024-11-10;08:19;albion-park;R8;10;GLENREAGH BURNER;
69;2024-11-10;08:40;albion-park;R9;1;WINGED WONDER;89
70;2024-11-10;08:40;albion-park;R9;2;RATTLESNAKE PIE;99
71;2024-11-10;08:40;albion-park;R9;3;ANY ART;100
72;2024-11-10;08:40;albion-park;R9;4;ETERNAL WINTER;87
73;2024-11-10;08:40;albion-park;R9;5;VACANT BOX;
74;2024-11-10;08:40;albion-park;R9;6;CLARETOWN MIKEY;91
75;2024-11-10;08:40;albion-park;R9;7;INDY CHA CHA;87
