Nº;DATE;TIME;FIELD;RACE;BOX;GREY;RTG
76;2024-11-10;08:40;albion-park;R9;8;MCNULTY;81
77;2024-11-10;08:58;albion-park;R10;1;KEEP ON RUNNING;100
78;2024-11-10;08:58;albion-park;R10;2;VAN HELSING;90
79;2024-11-10;08:58;albion-park;R10;3;ARCTIC HAWK;82
80;2024-11-10;08:58;albion-park;R10;4;JUPITER;92
81;2024-11-10;08:58;albion-park;R10;5;VACANT BOX;
82;2024-11-10;08:58;albion-park;R10;6;DROP PIN;90
83;2024-11-10;08:58;albion-park;R10;7;BYE BYE DREAMER;75
84;2024-11-10;08:58;albion-park;R10;8;MINTER FORMULA;91
85;2024-11-10;09:13;albion-park;R11;1;FANCY GIFT;95
86;2024-11-10;09:13;albion-park;R11;2;LATE FOR SCHOOL;95
87;2024-11-10;09:13;albion-park;R11;3;EYES ON MEG;100
88;2024-11-10;09:13;albion-park;R11;4;ULTRA HANNAH;82
89;2024-11-10;09:13;albion-park;R11;5;VACANT BOX;
90;2024-11-10;09:13;albion-park;R11;6;CHARLIE'S FLYER;72
91;2024-11-10;09:13;albion-park;R11;7;FORGETFUL COOK;96
92;2024-11-10;09:13;albion-park;R11;8;CASH GAIN;90
93;2024-11-10;09:28;albion-park;R12;1;ASHY BEAR;99
94;2024-11-10;09:28;albion-park;R12;2;NOEL'S GEM;76
95;2024-11-10;09:28;albion-park;R12;3;WEBLEC SPARK;87
96;2024-11-10;09:28;albion-park;R12;4;ART OF DECEPTION;100
97;2024-11-10;09:28;albion-park;R12;5;VACANT BOX;
98;2024-11-10;09:28;albion-park;R12;6;EXCUSE;81
99;2024-11-10;09:28;albion-park;R12;7;SHARI'S ANGEL;83
100;2024-11-10;09:28;albion-park;R12;8;LUCKY PENGUIN;86
101;2024-11-10;04:32;angle-park;R1;1;AMAZED BY YOU;100
102;2024-11-10;04:32;angle-park;R1;2;LILY SKYE HIGH;78
103;2024-11-10;04:32;angle-park;R1;3;VACANT BOX;
104;2024-11-10;04:32;angle-park;R1;4;SPIN AND BURN;96
105;2024-11-10;04:32;angle-park;R1;5;SPRINGVALE BREE;93
106;2024-11-10;04:32;angle-park;R1;6;VACANT BOX;
107;2024-11-10;04:32;angle-park;R1;7;PRIME OF LIFE;93
108;2024-11-10;04:32;angle-park;R1;8;BOOM BOOM JINX;93
109;2024-11-10;04:54;angle-park;R2;1;SOMBOR SHUFFLE;100
110;2024-11-10;04:54;angle-park;R2;2;NOT SPOT;88
111;2024-11-10;04:54;angle-park;R2;3;VACANT BOX;
112;2024-11-10;04:54;angle-park;R2;4;RENEGADE GLEN;
113;2024-11-10;04:54;angle-park;R2;5;VACANT BOX;
114;2024-11-10;04:54;angle-park;R2;6;MAKER OF FOOLS;82
115;2024-11-10;04:54;angle-park;R2;7;VACANT BOX;
116;2024-11-10;04:54;angle-park;R2;8;FLYING SAUCER;88
117;2024-11-10;05:17;angle-park;R3;1;SEBON PRINCE;94
118;2024-11-10;05:17;angle-park;R3;2;ENCHUFLA;89
119;2024-11-10;05:17;angle-park;R3;3;VACANT BOX;
120;2024-11-10;05:17;angle-park;R3;4;BUNDABERG GUM;100
121;2024-11-10;05:17;angle-park;R3;5;DONER KEBAB;93
122;2024-11-10;05:17;angle-park;R3;6;VACANT BOX;
123;2024-11-10;05:17;angle-park;R3;7;ANDY ROSE;81
124;2024-11-10;05:17;angle-park;R3;8;ROAD LESS TRAVEL;87
125;2024-11-10;05:39;angle-park;R4;1;SUPREME THAILAND;92
126;2024-11-10;05:39;angle-park;R4;2;THAT'S GRACE;100
127;2024-11-10;05:39;angle-park;R4;3;VACANT BOX;
128;2024-11-10;05:39;angle-park;R4;4;SLIPPER'S MAGGIE;84
129;2024-11-10;05:39;angle-park;R4;5;ASTON GARRATT;97
130;2024-11-10;05:39;angle-park;R4;6;VACANT BOX;
131;2024-11-10;05:39;angle-park;R4;7;LONG GULLY TED;86
132;2024-11-10;05:39;angle-park;R4;8;OUR BELLA ROSE;93
133;2024-11-10;06:01;angle-park;R5;1;FANTASTIC TOMMY;100
134;2024-11-10;06:01;angle-park;R5;2;MAGIC POPPET;98
135;2024-11-10;06:01;angle-park;R5;3;VACANT BOX;
136;2024-11-10;06:01;angle-park;R5;4;COOLER MAC LASS;97
137;2024-11-10;06:01;angle-park;R5;5;CAPTAIN LARRY;91
138;2024-11-10;06:01;angle-park;R5;6;VACANT BOX;
139;2024-11-10;06:01;angle-park;R5;7;ORLANDO GREY;99
140;2024-11-10;06:01;angle-park;R5;8;ASTON CASSIDY;99
141;2024-11-10;06:23;angle-park;R6;1;UNO WHISKEY;95
142;2024-11-10;06:23;angle-park;R6;2;URANA LIGHTNING;94
143;2024-11-10;06:23;angle-park;R6;3;VACANT BOX;
144;2024-11-10;06:23;angle-park;R6;4;BROOKLYN ROAD;94
145;2024-11-10;06:23;angle-park;R6;5;PANAMA QUEEN;94
146;2024-11-10;06:23;angle-park;R6;6;VACANT BOX;
147;2024-11-10;06:23;angle-park;R6;7;PUMPKIN PARTY;89
148;2024-11-10;06:23;angle-park;R6;8;TOORA TERRY;100
149;2024-11-10;06:49;angle-park;R7;1;HERCULEAN ZEAL;94
150;2024-11-10;06:49;angle-park;R7;2;KRASNA;100
151;2024-11-10;06:49;angle-park;R7;3;ASTON FLOYD;85
152;2024-11-10;06:49;angle-park;R7;4;HOT ROCKS;84
153;2024-11-10;06:49;angle-park;R7;5;ASTON ARENA;90
154;2024-11-10;06:49;angle-park;R7;6;WAY TOO SOFT;86
155;2024-11-10;06:49;angle-park;R7;7;DARLING SHERRY;93
156;2024-11-10;06:49;angle-park;R7;8;MINE MASTER;83
157;2024-11-10;07:07;angle-park;R8;1;MELLOW MEAD;88
158;2024-11-10;07:07;angle-park;R8;2;REV LEON;100
159;2024-11-10;07:07;angle-park;R8;3;BACK TO WORK;93
160;2024-11-10;07:07;angle-park;R8;4;ALL THE SASS;
161;2024-11-10;07:07;angle-park;R8;5;FAWN CHARGER;77
162;2024-11-10;07:07;angle-park;R8;6;CHERRY LANE;88
163;2024-11-10;07:07;angle-park;R8;7;BUN EXHALE;96
164;2024-11-10;07:07;angle-park;R8;8;VIC ROSE;90
165;2024-11-10;07:07;angle-park;R8;9;WINNIE MCGOOGAN;78
166;2024-11-10;07:32;angle-park;R9;1;SECRET DOOR;91
167;2024-11-10;07:32;angle-park;R9;2;SOMNAMBULIST;90
168;2024-11-10;07:32;angle-park;R9;3;VACANT BOX;
169;2024-11-10;07:32;angle-park;R9;4;MY SILVER SPOON;91
170;2024-11-10;07:32;angle-park;R9;5;VACANT BOX;
171;2024-11-10;07:32;angle-park;R9;6;ETHANOL EXTRA;98
172;2024-11-10;07:32;angle-park;R9;7;VACANT BOX;
173;2024-11-10;07:32;angle-park;R9;8;SUTTON EBONY;100
174;2024-11-10;07:57;angle-park;R10;1;WE AND US;90
175;2024-11-10;07:57;angle-park;R10;2;FABULOUS BOO;89
176;2024-11-10;07:57;angle-park;R10;3;VACANT BOX;
177;2024-11-10;07:57;angle-park;R10;4;ALL ABOUT LARRY;100
178;2024-11-10;07:57;angle-park;R10;5;ASTON DUA;80
179;2024-11-10;07:57;angle-park;R10;6;VACANT BOX;
180;2024-11-10;07:57;angle-park;R10;7;PALACE PRINCE;85
181;2024-11-10;07:57;angle-park;R10;8;RIGHT SIDE UP;92
182;2024-11-10;08:22;angle-park;R11;1;BOOM BOOM JACK;100
183;2024-11-10;08:22;angle-park;R11;2;ASTON VERONA;89
184;2024-11-10;08:22;angle-park;R11;3;VACANT BOX;
185;2024-11-10;08:22;angle-park;R11;4;DOWN THE LINE;83
186;2024-11-10;08:22;angle-park;R11;5;BING BONG RAIDER;
187;2024-11-10;08:22;angle-park;R11;6;VACANT BOX;
188;2024-11-10;08:22;angle-park;R11;7;NINA INFERNO;85
189;2024-11-10;08:22;angle-park;R11;8;SLIPPER'S SOLO;85
190;2024-11-10;08:43;angle-park;R12;1;SLIPPER'S APPEAL;97
191;2024-11-10;08:43;angle-park;R12;2;BLUE BOY KADE;79
192;2024-11-10;08:43;angle-park;R12;3;VACANT BOX;
193;2024-11-10;08:43;angle-park;R12;4;MAZUMA MAYHEM;94
194;2024-11-10;08:43;angle-park;R12;5;BREAKER OF RULES;92
195;2024-11-10;08:43;angle-park;R12;6;VACANT BOX;
196;2024-11-10;08:43;angle-park;R12;7;LONG GULLY CAIT;94
197;2024-11-10;08:43;angle-park;R12;8;HIT THE DRUMS;100
198;2024-11-10;00:19;ballarat;R1;1;TIPSY BLUEBIRD;94
199;2024-11-10;00:19;ballarat;R1;2;BELAIR NOMAD;94
200;2024-11-10;00:19;ballarat;R1;3;CLASSIC CHARM;76
201;2024-11-10;00:19;ballarat;R1;4;PAW WAITARA;99
202;2024-11-10;00:19;ballarat;R1;5;WHIPPING ALONG;91
203;2024-11-10;00:19;ballarat;R1;6;MINH CINDY;100
204;2024-11-10;00:19;ballarat;R1;7;PAW KINSLEY;97
205;2024-11-10;00:19;ballarat;R1;8;LONG REEF;97
206;2024-11-10;00:19;ballarat;R1;9;AUTUMN ANGEL;
207;2024-11-10;00:19;ballarat;R1;10;PARNASSUS;
208;2024-11-10;00:39;ballarat;R2;1;FLAT CHAT;100
209;2024-11-10;00:39;ballarat;R2;2;CLASSY WILLOW;90
210;2024-11-10;00:39;ballarat;R2;3;TONK JEAN;93
211;2024-11-10;00:39;ballarat;R2;4;TASTE YOUR LIPS;85
212;2024-11-10;00:39;ballarat;R2;5;PAW ALLEY;
213;2024-11-10;00:39;ballarat;R2;6;ATOMIC DIVA;98
214;2024-11-10;00:39;ballarat;R2;7;MR. SIN RAP;91
215;2024-11-10;00:39;ballarat;R2;8;SABATINI;
216;2024-11-10;00:39;ballarat;R2;9;MISS MAJESTIC;75
217;2024-11-10;00:39;ballarat;R2;10;NICK'S MATE;95
218;2024-11-10;01:02;ballarat;R3;1;MISCHIEF MATE;100
219;2024-11-10;01:02;ballarat;R3;2;CRUISING AMY;89
220;2024-11-10;01:02;ballarat;R3;3;WAIRUA'S WAY;89
221;2024-11-10;01:02;ballarat;R3;4;KISS ME RUBY;90
222;2024-11-10;01:02;ballarat;R3;5;OUR VISION;98
223;2024-11-10;01:02;ballarat;R3;6;CRAIG KEEPING;74
224;2024-11-10;01:02;ballarat;R3;7;HUSTLE NINA;97
225;2024-11-10;01:02;ballarat;R3;8;DELL MISTER;99
226;2024-11-10;01:02;ballarat;R3;9;HARDSTYLE GRACIE;
227;2024-11-10;01:02;ballarat;R3;10;ORSON AS;
228;2024-11-10;01:23;ballarat;R4;1;STYLE KEY;94
229;2024-11-10;01:23;ballarat;R4;2;SHOWGIRL SHIRLEY;100
230;2024-11-10;01:23;ballarat;R4;3;LITTLE POPPET;96
231;2024-11-10;01:23;ballarat;R4;4;PALTROW BALE;90
232;2024-11-10;01:23;ballarat;R4;5;SAM'S BOY;89
233;2024-11-10;01:23;ballarat;R4;6;WESTERN'S BEAR;
234;2024-11-10;01:23;ballarat;R4;7;AGGREGATE;93
235;2024-11-10;01:23;ballarat;R4;8;FAR AWAY TEARS;86
236;2024-11-10;01:23;ballarat;R4;9;BIG CONE TONE;
237;2024-11-10;01:23;ballarat;R4;10;BRINDLE BEC;71
238;2024-11-10;01:42;ballarat;R5;1;MORAINE BRANDI;92
239;2024-11-10;01:42;ballarat;R5;2;MISS YOUR KISS;95
240;2024-11-10;01:42;ballarat;R5;3;PAW IGNITE;92
241;2024-11-10;01:42;ballarat;R5;4;JACK'S ELATION;93
242;2024-11-10;01:42;ballarat;R5;5;GO NOW;90
243;2024-11-10;01:42;ballarat;R5;6;PAW NITRO;87
244;2024-11-10;01:42;ballarat;R5;7;KARUNA;100
245;2024-11-10;01:42;ballarat;R5;8;POCKET MOUSE;91
246;2024-11-10;02:06;ballarat;R6;1;PRINCE PIERRE;92
247;2024-11-10;02:06;ballarat;R6;2;NITRO BALE;
248;2024-11-10;02:06;ballarat;R6;3;KENSINGTON FLYER;88
249;2024-11-10;02:06;ballarat;R6;4;BISMUTH;94
250;2024-11-10;02:06;ballarat;R6;5;MIGHTY THANOS;88
251;2024-11-10;02:06;ballarat;R6;6;ZIPPING MORK;66
252;2024-11-10;02:06;ballarat;R6;7;BELAIR BEE;89
253;2024-11-10;02:06;ballarat;R6;8;MISDIRECTED;100
254;2024-11-10;02:06;ballarat;R6;9;IVERSON;79
255;2024-11-10;02:06;ballarat;R6;10;ZARA'S PRINCESS;
256;2024-11-10;02:24;ballarat;R7;1;DECORATED;94
257;2024-11-10;02:24;ballarat;R7;2;ZIPPING CITINO;
258;2024-11-10;02:24;ballarat;R7;3;NORBIT;97
259;2024-11-10;02:24;ballarat;R7;4;DARK BEFORE DAWN;93
260;2024-11-10;02:24;ballarat;R7;5;MAXIMUM BARB;100
261;2024-11-10;02:24;ballarat;R7;6;VELOX BALE;90
262;2024-11-10;02:24;ballarat;R7;7;IZAKAYA LAD;86
263;2024-11-10;02:24;ballarat;R7;8;FLYING BESSIE;84
264;2024-11-10;02:24;ballarat;R7;9;HARD ROTOR;90
265;2024-11-10;02:44;ballarat;R8;1;BRANDENBURG;89
266;2024-11-10;02:44;ballarat;R8;2;DOWN SOUTH GIRL;90
267;2024-11-10;02:44;ballarat;R8;3;NALA'S GHOST;84
268;2024-11-10;02:44;ballarat;R8;4;SIR BINGO;87
269;2024-11-10;02:44;ballarat;R8;5;YOU YANG YAALA;90
270;2024-11-10;02:44;ballarat;R8;6;ZIPPING CARDI;91
271;2024-11-10;02:44;ballarat;R8;7;ELK;90
272;2024-11-10;02:44;ballarat;R8;8;HIERARCHY;100
273;2024-11-10;02:44;ballarat;R8;9;MIRA BALE;
274;2024-11-10;02:44;ballarat;R8;10;HERE'S BRUCE;
275;2024-11-10;03:06;ballarat;R9;1;STILTON INDIE;94
276;2024-11-10;03:06;ballarat;R9;2;POPPY RICK;96
277;2024-11-10;03:06;ballarat;R9;3;DRAGON BLACK;92
278;2024-11-10;03:06;ballarat;R9;4;BONE SHAKER;98
279;2024-11-10;03:06;ballarat;R9;5;NAUGHTY NUNG;93
280;2024-11-10;03:06;ballarat;R9;6;SQUEEGEE'S RIDE;100
281;2024-11-10;03:06;ballarat;R9;7;CONNOR'S FLYER;96
282;2024-11-10;03:06;ballarat;R9;8;PAW JOLYN;98
283;2024-11-10;03:06;ballarat;R9;9;ROCKHAMPTON EMMA;
284;2024-11-10;03:24;ballarat;R10;1;SPICY MADAM;66
285;2024-11-10;03:24;ballarat;R10;2;MAJESTIC GEORGE;71
286;2024-11-10;03:24;ballarat;R10;3;TONKA BALE;81
287;2024-11-10;03:24;ballarat;R10;4;BOROUGH BOUND;73
288;2024-11-10;03:24;ballarat;R10;5;PERFECT STRANGER;66
289;2024-11-10;03:24;ballarat;R10;6;FORWARD STEP;66
290;2024-11-10;03:24;ballarat;R10;7;MR. OLAF;67
291;2024-11-10;03:24;ballarat;R10;8;WALTZING BRUTE;100
292;2024-11-10;03:24;ballarat;R10;9;ROCKHAMPTON EMMA;
293;2024-11-10;03:45;ballarat;R11;1;SHERICKA;100
294;2024-11-10;03:45;ballarat;R11;2;SCOTT TO BURN;96
295;2024-11-10;03:45;ballarat;R11;3;GOLDEN SCOTCH;90
296;2024-11-10;03:45;ballarat;R11;4;KEMPTON BALE;92
297;2024-11-10;03:45;ballarat;R11;5;SILVER TAQUISHA;96
298;2024-11-10;03:45;ballarat;R11;6;WHERE THE FORMAN;95
299;2024-11-10;03:45;ballarat;R11;7;ASTON WARRIOR;97
300;2024-11-10;03:45;ballarat;R11;8;DARTS NIGHT;98
301;2024-11-10;03:45;ballarat;R11;9;OUTSMART;
302;2024-11-10;03:45;ballarat;R11;10;ABLETT FLYER;
303;2024-11-10;04:04;ballarat;R12;1;PLUTOCRACY;98
304;2024-11-10;04:04;ballarat;R12;2;HARRY CHANA;91
305;2024-11-10;04:04;ballarat;R12;3;CANYA IGNITE;92
306;2024-11-10;04:04;ballarat;R12;4;MAJOR PHANTOM;100
307;2024-11-10;04:04;ballarat;R12;5;MR. FLASH;86
308;2024-11-10;04:04;ballarat;R12;6;CRUISIN' CHERRY;93
309;2024-11-10;04:04;ballarat;R12;7;BOROUGH MAN;85
310;2024-11-10;04:04;ballarat;R12;8;ROMENA CHARM;91
311;2024-11-10;04:04;ballarat;R12;9;OUTSMART;
312;2024-11-10;04:04;ballarat;R12;10;ABLETT FLYER;
313;2024-11-10;04:22;ballarat;R13;1;JUST WANT PIZZA;96
314;2024-11-10;04:22;ballarat;R13;2;DANYO'S BOAR;90
315;2024-11-10;04:22;ballarat;R13;3;MORAINE BALOO;83
316;2024-11-10;04:22;ballarat;R13;4;FULL GLAMOUR;100
317;2024-11-10;04:22;ballarat;R13;5;HARTLAND DUKE;85
318;2024-11-10;04:22;ballarat;R13;6;VOLKANOVSKI;94
319;2024-11-10;04:22;ballarat;R13;7;JUDY'S REDEEMER;88
320;2024-11-10;04:22;ballarat;R13;8;PAW MARVEL;98
321;2024-11-10;04:22;ballarat;R13;9;BIG CONE TONE;
322;2024-11-10;04:22;ballarat;R13;10;MORAINE MIA;
323;2024-11-10;04:45;ballarat;R14;1;PULL START PUMBA;100
324;2024-11-10;04:45;ballarat;R14;2;CHASING JIMMY;93
325;2024-11-10;04:45;ballarat;R14;3;BLACK BOW;93
326;2024-11-10;04:45;ballarat;R14;4;BLUE NITROGEN;93
327;2024-11-10;04:45;ballarat;R14;5;HOSEY SIDEKICK;99
328;2024-11-10;04:45;ballarat;R14;6;INDY DELTA;98
329;2024-11-10;04:45;ballarat;R14;7;MISSILE MAGGIE;93
330;2024-11-10;04:45;ballarat;R14;8;AVISWOOD;97
331;2024-11-10;04:45;ballarat;R14;9;BRINDLE BEC;
332;2024-11-10;04:45;ballarat;R14;10;MORAINE MIA;
333;2024-11-10;21:20;healesville;R1;1;KING PLUM;94
334;2024-11-10;21:20;healesville;R1;2;SWIPER;84
335;2024-11-10;21:20;healesville;R1;3;HI GOOD THANKS;95
336;2024-11-10;21:20;healesville;R1;4;MISS JECKELL;94
337;2024-11-10;21:20;healesville;R1;5;KELCE'S GIRL;100
338;2024-11-10;21:20;healesville;R1;6;MAGIC TIGERESS;89
339;2024-11-10;21:20;healesville;R1;7;BIG MIZZI;98
340;2024-11-10;21:20;healesville;R1;8;GENERAL SHADOW;84
341;2024-11-10;21:37;healesville;R2;1;VINNIE'S CAMEL;88
342;2024-11-10;21:37;healesville;R2;2;WHISKEY SPLASH;
343;2024-11-10;21:37;healesville;R2;3;DAMAGED PANEL;100
344;2024-11-10;21:37;healesville;R2;4;COLMAR ON FIRE;
345;2024-11-10;21:37;healesville;R2;5;BOOK OF CAPERS;91
346;2024-11-10;21:37;healesville;R2;6;RAPHAEL ZEAL;94
347;2024-11-10;21:37;healesville;R2;7;PAW NIKKI;93
348;2024-11-10;21:37;healesville;R2;8;MR. HOLIDAY;88
349;2024-11-10;21:52;healesville;R3;1;WHAT A SPIRIT;96
350;2024-11-10;21:52;healesville;R3;2;HE'S SO TOUGH;
351;2024-11-10;21:52;healesville;R3;3;SLIPPERY SHARK;100
352;2024-11-10;21:52;healesville;R3;4;BE CHARMING;97
353;2024-11-10;21:52;healesville;R3;5;ARGYLE EMMA;94
354;2024-11-10;21:52;healesville;R3;6;FIREBIRD FLYER;90
355;2024-11-10;21:52;healesville;R3;7;SHE CAN DREAM;
356;2024-11-10;21:52;healesville;R3;8;AVON SWAN;98
357;2024-11-10;22:10;healesville;R4;1;NOIR SATIN;91
358;2024-11-10;22:10;healesville;R4;2;TINY BIT SPOILT;89
359;2024-11-10;22:10;healesville;R4;3;REGAL PHONIC;94
360;2024-11-10;22:10;healesville;R4;4;ROMAN EMPIRE;90
361;2024-11-10;22:10;healesville;R4;5;MISS GALORE;87
362;2024-11-10;22:10;healesville;R4;6;BLONDE MUSTANG;100
363;2024-11-10;22:10;healesville;R4;7;MIDNIGHT SHIMMER;92
364;2024-11-10;22:10;healesville;R4;8;EASY PIE;93
365;2024-11-10;22:29;healesville;R5;1;ESPECIAL YOGI;97
366;2024-11-10;22:29;healesville;R5;2;RIPPED MIKADO;
367;2024-11-10;22:29;healesville;R5;3;DAREN'S TIGER;88
368;2024-11-10;22:29;healesville;R5;4;CHOJI AKIMICHI;90
369;2024-11-10;22:29;healesville;R5;5;HAMMER;100
370;2024-11-10;22:29;healesville;R5;6;DONATELLO ZEAL;98
371;2024-11-10;22:29;healesville;R5;7;BANORA POINT;96
372;2024-11-10;22:29;healesville;R5;8;ZIPPING VELMA;93
373;2024-11-10;22:46;healesville;R6;1;CATCH A RAINBOW;90
374;2024-11-10;22:46;healesville;R6;2;HAIL ZEUS;95
375;2024-11-10;22:46;healesville;R6;3;MISS DAICOS;92
376;2024-11-10;22:46;healesville;R6;4;OUT OF CHARGE;97
377;2024-11-10;22:46;healesville;R6;5;WALTZING EMBERS;
378;2024-11-10;22:46;healesville;R6;6;ANOKE;91
379;2024-11-10;22:46;healesville;R6;7;SAPPHIRE SPEED;89
380;2024-11-10;22:46;healesville;R6;8;CYCLONE WILL;100
381;2024-11-10;23:05;healesville;R7;1;SHE'S SOMETHING;83
382;2024-11-10;23:05;healesville;R7;2;UNIQUE MUNDINE;96
383;2024-11-10;23:05;healesville;R7;3;TRIPLE CROSS;
384;2024-11-10;23:05;healesville;R7;4;RIVER KING;100
385;2024-11-10;23:05;healesville;R7;5;SNOW ROYALE;86
386;2024-11-10;23:05;healesville;R7;6;ELSIE DREAMING;92
387;2024-11-10;23:05;healesville;R7;7;BERRY BLUE EVIE;87
388;2024-11-10;23:05;healesville;R7;8;WHY NOT BRYCE;89
389;2024-11-10;23:22;healesville;R8;1;FULL BARREL;100
390;2024-11-10;23:22;healesville;R8;2;IRON TYSON;99
391;2024-11-10;23:22;healesville;R8;3;RUPTURED;93
392;2024-11-10;23:22;healesville;R8;4;ZIPPI MUSTANG;98
393;2024-11-10;23:22;healesville;R8;5;GET A GRIP;95
394;2024-11-10;23:22;healesville;R8;6;CASH NOW;99
395;2024-11-10;23:22;healesville;R8;7;FIRING CHIEF;99
396;2024-11-10;23:22;healesville;R8;8;HATENNA BALE;92
397;2024-11-10;23:47;healesville;R9;1;WHAT'S THAT;96
398;2024-11-10;23:47;healesville;R9;2;CARTEL GLAMOUR;100
399;2024-11-10;23:47;healesville;R9;3;SIDEWINDER;97
400;2024-11-10;23:47;healesville;R9;4;WHISPER PIE;94
401;2024-11-10;23:47;healesville;R9;5;ASIA;97
